External ID,Display Name,UPC Code,UCC,Amazon Item Number (ASIN),Configuration,Units per Carton,Unit Manf Cost,Carton Volume (CBF),Carton CBM,Carton Weight (lbs),Unit Length (In.),Unit Width (In.),Unit Height (In.),Unit Weight (Lbs.),HTS Code,Average Cost,Materials for Customs,Product Category,Replenish?
,,,,,WALMART BOX - TREVI,,,2.21,,22.71,,,,,,,,,
23-SWEAT-PARENT,2023 Winter Sweatshirts,,,,,,,2.21,,22.71,,,,,,,,,No
23-SWEAT-2XL-ALB,2023 Sweatshirt-2XL-Almond Birch,1.92E+11,,,Sweatshirt 2XL,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-2XL-MB,2023 Sweatshirt-2XL-Midnight Black,1.92E+11,,,Sweatshirt 2XL,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-2XL-SGS,2023 Sweatshirt-2XL-Sea Glass Sage,1.92E+11,,,Sweatshirt 2XL,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-L-ALB,2023 Sweatshirt-Large-Almond Birch,1.92E+11,,,Sweatshirt Large,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-L-MB,2023 Sweatshirt-Large-Midnight Black,1.92E+11,,,Sweatshirt Large,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-L-SGS,2023 Sweatshirt-Large-Sea Glass Sage,1.92E+11,,,Sweatshirt Large,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-M-ALB,2023 Sweatshirt-Medium-Almond Birch,1.92E+11,,,Sweatshirt Medium,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-M-MB,2023 Sweatshirt-Medium-Midnight Black,1.92E+11,,,Sweatshirt Medium,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-M-SGS,2023 Sweatshirt-Medium-Sea Glass Sage,1.92E+11,,,Sweatshirt Medium,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-S-ALB,2023 Sweatshirt-Small-Almond Birch,1.92E+11,,,Sweatshirt Small,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-S-MB,2023 Sweatshirt-Small-Midnight Black,1.92E+11,,,Sweatshirt Small,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-S-SGS,2023 Sweatshirt-Small-Sea Glass Sage,1.92E+11,,,Sweatshirt Small,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-XL-ALB,2023 Sweatshirt-XL-Almond Birch,1.92E+11,,,Sweatshirt XL,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-XL-MB,2023 Sweatshirt-XL-Midnight Black,1.92E+11,,,Sweatshirt XL,,,1.94,,17.41,,,,,,,,Accessory,No
23-SWEAT-XL-SGS,2023 Sweatshirt-XL-Sea Glass Sage,1.92E+11,,,Sweatshirt XL,,,1.94,,17.41,,,,,,,,Accessory,No
23S2-PLT,,1.92E+11,,,Not Set,,,2.43,,21.11,,,,,,,,Bundle,No
2PKCLS24S-PT,Sam's 2023 Two Pack Classic Pallet,1.92E+11,,,Not Set,,,3.01,,29.56,,,,,3924.10.40.00,,,Tumblers,No
2SKPS12MKM-T-ASSEMBLY,Target Children's MOD 2023 Assembly-Disney Tritan Two Pack,,,,Tritan Summit with Simple Flip 12oz 2 Pack,,,1.44,,16.8,,,,,3924.10.40.00,,,Kids Water Bottles,No
2SKPS12MNM-T-ASSEMBLY,Target Children's MOD 2023 Assembly-Disney Tritan Two Pack-Minnie,,,,Tritan Summit with Simple Flip 12oz 2 Pack,,5.56717391,1.44,,16.8,,,,,3924.10.40.00,5.56717391,,Kids Water Bottles,No
2SKPS12PARENT,Target-2023-Kid's POG-Tritan Summit with Simple Flip 12oz-Disney 2 Pack-PARENT,,,,Tritan Summit with Simple Flip 12oz 2 Pack,,,1.44,,16.8,,,,,3924.10.40.00,,,Kids Water Bottles,No
2SKPS12MKM-T,Target-2023-Kid's POG-Tritan Summit with Simple Flip 12oz-Disney 2 Pack-Mickey Mouse Space,1.92E+11,1.02E+13,B0D3WDLXG5,Tritan Summit with Simple Flip 12oz 2 Pack,4,,0.55232139,0.016,3.21874903,,,,0.68,3924.10.40.00,,Plastic,Kids Water Bottles,No
2SKPS12MNM-T,Target-2023-Kid's POG-Tritan Summit with Simple Flip 12oz-Disney 2 Pack-Minnie Mouse Rainbows,1.92E+11,1.02E+13,B0D3WTY6BG,Tritan Summit with Simple Flip 12oz 2 Pack,4,,0.55232139,0.016,3.21874903,,,,0.68,3924.10.40.00,,Plastic,Kids Water Bottles,No
,,,,,WALMART BOX - TREVI,,,2.21,,22.71,,,,,,,,,
,,,,,TREVI WALMART BOX DIE,,,2.21,,22.71,,,,,,,,,
7A-7UV6-TOMG-PARENT,Cruiser 30oz-PARENT,,,,,,,3.01,,29.56,,,,,,,,Tumblers,No
7A-7UV6-TOMG-WT,Cruiser 30oz-Winter White,8.59E+11,,B01E04Y8FO,Cruiser 30oz,24,,2.70877622,0.077,28.43963182,,,,1.16,9617.00.10.00,,,Tumblers,No
Adult Drinkware,Adult Drinkware,,,,,,,2.21,,22.71,,,,,,,,,No
Apex,Apex,,,,,,,2.21,,22.71,,,,,,,,,No
Apex with Straw and Screwtop,Apex with Straw and Screwtop,,,,,,,2.21,,22.71,,,,,,,,,No
Ascent,Ascent,,,,,,,2.21,,22.71,,,,,,,,,No
Ascent Accessory,Ascent Accessory,,,,,,,2.21,,22.71,,,,,,,,,No
